prompt,response
what 's happening to his deal .,I got to go .
I got to go .,I 'm gon na get screwed ?
I 'm gon na get screwed ?,at a bad time ?
at a bad time ?,Harvey Specter .
Harvey Specter .,"the best closer , for the last three hour ?"
"the best closer , for the last three hour ?","in troubled situation , at 7:00 p.m. , in jeopardy , what happened in the interim ."
"in troubled situation , at 7:00 p.m. , in jeopardy , what happened in the interim .",bad faith bullshit .
bad faith bullshit .,wo n't be staying on I do n't want him around .
wo n't be staying on I do n't want him around .,"since I left , who 's been dealing in bad faith ."
"since I left , who 's been dealing in bad faith .",a grasp on what 's happened gon na do about it ?
a grasp on what 's happened gon na do about it ?,that title .
that title .,"I understand this , okay ?"
"I understand this , okay ?","gave you everything you wanted , and now you wo n't close the last shred of his dignity ?"
"gave you everything you wanted , and now you wo n't close the last shred of his dignity ?","- Well , that 's not gon na happen ."
"- Well , that 's not gon na happen .","- Because I like Mr. Cooper , in bad faith ."
"- Because I like Mr. Cooper , in bad faith .",I see how it is .
I see how it is .,your pansy attitude and make him sign my deal ?
your pansy attitude and make him sign my deal ?,"your money First of all , Gerald , anyone 's gon na touch this deal you 're mistaken ."
"your money First of all , Gerald , anyone 's gon na touch this deal you 're mistaken .","our agreement work is , signed the deal you wanted , which is why at 7 : of a wire transfer in full ."
"our agreement work is , signed the deal you wanted , which is why at 7 : of a wire transfer in full .","the ball 's in your court , your ball are in my fist ."
"the ball 's in your court , your ball are in my fist .","is too pansy for you , with my manhood like this ?"
"is too pansy for you , with my manhood like this ?",before Gerald signed the deal ?
before Gerald signed the deal ?,This is a memo on Tuesday .
This is a memo on Tuesday .,- You 're the blue team captain .
- You 're the blue team captain .,Do I know you from somewhere ?
Do I know you from somewhere ?,for face .
for face .,- I got it .
- I got it .,Hey !
Hey !,"Pilot Original Air Date on June 23 , I wa gon na get you ."
"Pilot Original Air Date on June 23 , I wa gon na get you .","I told you I wanted a 175. only 1 out of 100 people You got 1,000 on your SATs ."
"I told you I wanted a 175. only 1 out of 100 people You got 1,000 on your SATs .",they 'll know you cheated .
they 'll know you cheated .,can get a 175 ?
can get a 175 ?,I would get a 180. please ?
I would get a 180. please ?,This is only half .
This is only half .,go call the police ?
go call the police ?,together .
together .,I 've had in my life .
I 've had in my life .,to stop getting stoned .
to stop getting stoned .,my act together .
my act together .,and still be a success .
and still be a success .,"you want in , that is word for word in the third grade ."
"you want in , that is word for word in the third grade .",you 're a dealer .
you 're a dealer .,real software project .
real software project .,"briefcase filled with cash , identical briefcase coming in from out of town , to make the drop ."
"briefcase filled with cash , identical briefcase coming in from out of town , to make the drop .",is more likely to die than they would be What are you talking about ?
is more likely to die than they would be What are you talking about ?,that I give you ?
that I give you ?,somebody else .
somebody else .,You said you were gon na stay Yeah .
You said you were gon na stay Yeah .,of something .
of something .,in the middle of ?
in the middle of ?,to set me up .
to set me up .,to work for me .
to work for me .,"off Trevor , writing code I got to go ."
"off Trevor , writing code I got to go .",to see my grandmother - Bye .
to see my grandmother - Bye .,would n't look at that memo ?
would n't look at that memo ?,"always look at the red cape , with the sword ."
"always look at the red cape , with the sword .",I 've set up a meeting next week .
I 've set up a meeting next week .,He 's Skadden 's biggest client .
He 's Skadden 's biggest client .,I want you to close him .
I want you to close him .,officially dismissed to be celebrating something .
officially dismissed to be celebrating something .,We are .
We are .,this city ha ever seen .
this city ha ever seen .,Attorney .
Attorney .,So you only care about money ?
So you only care about money ?,I do it for the child .
I do it for the child .,tonight ?
tonight ?,`` I 'm never going out with you . ''
`` I 'm never going out with you . '',closer this city 's ever seen .
