input,response
﻿1,[Muffled chatter]
[Muffled chatter],[Knocking]
[Knocking],Gerald Tate's here.
Gerald Tate's here.,He wants to know
He wants to know,what's happening to his deal.
what's happening to his deal.,Go get Harvey.
Go get Harvey.,"== sync, corrected by <font color=""#00ff00"">elderman</font> =="
"== sync, corrected by <font color=""#00ff00"">elderman</font> ==",I check.
I check.,Raise.
Raise.,"5,000."
"5,000.",I'm all-in.
I'm all-in.,[Cell phone dings]
[Cell phone dings],You can pay me later.
You can pay me later.,I got to go.
I got to go.,Gentlemen.
Gentlemen.,"I'm paying you millions,"
"I'm paying you millions,",and you're telling me
and you're telling me,I'm gonna get screwed?
I'm gonna get screwed?,"Jessica, have I come"
"Jessica, have I come",at a bad time?
at a bad time?,"Gerald, this is"
"Gerald, this is",Harvey Specter.
Harvey Specter.,He's our best closer.
He's our best closer.,"Well, if you're"
"Well, if you're","the best closer,"
"the best closer,",where the hell you been
where the hell you been,for the last three hours?
for the last three hours?,"Well, Gerald, I specialize"
"Well, Gerald, I specialize","in troubled situations,"
"in troubled situations,",and when I left here
and when I left here,"at 7:00 p.m.,"
"at 7:00 p.m.,",this deal wasn't
this deal wasn't,"in jeopardy,"
"in jeopardy,",so I'm just trying to figure out
so I'm just trying to figure out,what happened in the interim.
what happened in the interim.,We keep offering more money.
We keep offering more money.,They keep rejecting it.
They keep rejecting it.,It's last-minute
It's last-minute,bad faith bullshit.
bad faith bullshit.,Says here that Cooper
Says here that Cooper,won't be staying on
won't be staying on,as honorary vice president.
as honorary vice president.,That's right.
That's right.,I don't want him around.
I don't want him around.,He wouldn't be around.
He wouldn't be around.,It's an honorary position.
It's an honorary position.,I don't give a shit.
I don't give a shit.,"Well, I think you do,"
"Well, I think you do,",because that's what's changed
because that's what's changed,"since I left,"
"since I left,",which means it's you
which means it's you,who's been dealing in bad faith.
who's been dealing in bad faith.,"Well, now that you've got"
"Well, now that you've got",a grasp on what's happened
a grasp on what's happened,"in the goddamn interim,"
"in the goddamn interim,",what are you
what are you,gonna do about it?
gonna do about it?,Because he's not getting
Because he's not getting,that title.
that title.,"Well, let me make sure"
"Well, let me make sure","I understand this, okay?"
"I understand this, okay?",We negotiated a deal that
We negotiated a deal that,"gave you everything you wanted,"
"gave you everything you wanted,","Mr. Cooper signed it,"
"Mr. Cooper signed it,",and now you won't close
and now you won't close,until we take away
until we take away,the last shred of his dignity?
the last shred of his dignity?,- Bingo.
- Bingo.,"- Well, that's not gonna happen."
"- Well, that's not gonna happen.",- And why the hell not?
- And why the hell not?,"- Because I like Mr. Cooper,"
"- Because I like Mr. Cooper,",and my firm doesn't operate
and my firm doesn't operate,in bad faith.
in bad faith.,Oh.
Oh.,I see how it is.
I see how it is.,"Instead of working Cooper,"
"Instead of working Cooper,",you're working me.
you're working me.,"Well, why don't you take"
"Well, why don't you take",your pansy attitude
your pansy attitude,back in there
back in there,and make him sign my deal?
and make him sign my deal?,Or I'll pay someone else
Or I'll pay someone else,your money
your money,to do it for me.
to do it for me.,"First of all, Gerald,"
"First of all, Gerald,",if you think
if you think,anyone's gonna touch this deal
anyone's gonna touch this deal,"after your bad faith,"
"after your bad faith,",you're mistaken.
